Date&Time,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2002-05-20,11950.0,11970.0,11950.0,11970.0,43
2002-05-27,11730.0,11870.0,11400.0,11400.0,270
2002-06-03,11550.0,11550.0,10900.0,11300.0,375
2002-06-10,11200.0,11500.0,10851.0,10851.0,115
2002-06-17,10900.0,10900.0,10200.0,10770.0,240
2002-06-24,10280.0,10700.0,10070.0,10325.01,175
2002-07-01,10450.0,11150.0,10341.0,11060.01,418
2002-07-08,11100.0,12000.0,11100.0,11850.0,1404
2002-07-15,11761.0,12998.99,11761.0,12195.0,1966
2002-07-22,11900.0,12000.0,10600.0,11770.0,343
2002-07-29,12150.0,12150.0,11200.0,11700.0,843
2002-08-05,11600.0,11649.0,11250.0,11398.0,1449
2002-08-12,11400.0,11450.0,11300.0,11450.0,359
2002-08-19,11400.0,11501.0,11150.0,11200.0,260
2002-08-26,11180.0,12130.0,11001.0,11205.0,270
2002-09-02,11130.0,11200.0,10500.0,11000.0,146
2002-09-09,11000.0,11150.0,10900.0,10950.0,378
2002-09-16,10755.0,10865.0,10150.0,10300.0,272
2002-09-23,10500.0,10660.0,10350.0,10625.0,412
2002-09-30,10550.0,10700.0,10350.0,10700.0,522
2002-10-07,10600.0,11200.0,10600.0,10870.0,908
2002-10-14,11200.0,11200.0,10800.0,11050.0,482
2002-10-21,11111.11,12000.0,10140.0,11345.0,4264
2002-10-28,11447.99,11600.0,11300.0,11451.0,1536
2002-11-04,11400.0,11750.0,11380.0,11271.01,540
2002-11-11,11070.02,11399.0,11050.02,11300.0,1035
2002-11-18,11399.99,11399.99,11200.01,11300.0,1180
2002-11-25,11390.0,11498.99,11335.0,11450.0,1041
2002-12-02,11599.0,11599.0,11025.02,11080.0,1261
2002-12-09,11199.99,11199.99,11000.0,11118.99,302
2002-12-16,11149.98,11199.99,10860.0,11049.99,381
2002-12-23,11138.49,11148.99,8000.0,11039.99,278
2002-12-30,11089.0,11100.0,10860.0,11110.0,26
2003-01-06,11199.99,11199.99,10010.0,10935.0,185
2003-01-13,11000.0,11295.0,11000.0,11190.0,889
2003-01-20,11274.99,11275.0,10815.0,10999.99,916
2003-01-27,10979.99,11099.99,10800.0,10820.0,440
2003-02-03,10800.0,11100.0,10777.77,11019.98,494
2003-02-10,11149.43,11299.99,10950.02,11046.94,577
2003-02-17,11147.99,11272.99,10920.0,11100.0,785
2003-02-24,11149.99,11399.0,11100.0,11350.0,1405
2003-03-03,11398.0,12200.0,11398.0,12000.0,3221
2003-03-10,12000.0,12245.0,11300.0,11600.0,480
2003-03-17,11500.0,11500.0,10900.0,11440.0,357
2003-03-24,11490.0,11500.0,10950.01,11300.0,372
2003-03-31,10900.01,11300.0,10900.01,11250.0,407
2003-04-07,11260.0,11789.96,11150.03,11478.0,593
2003-04-14,11399.99,11744.99,11399.99,11460.03,1211
2003-04-21,11569.99,11776.0,11400.06,11600.0,1024
